StudentID,first_name,last_name,LAB WORK 1,LAB WORK 2,LAB WORK 3,PRELIM EXAM,ATTENDANCE GRADE
073903150,Myer,Mandre,93,40,31,56,17
211372352,Marco,Drysdale,81,77,1,29,2
103112329,Tabina,Cardinale,59,41,45,11,100
092901803,Adams,Baythorp,23,2,5,60,73
122105252,Jerrold,Bailess,90,80,80,10,88
284272654,Colman,Cavil,35,85,60,44,61
111900455,Caryl,Audsley,28,9,70,15,78
021207358,Cindee,Tomik,64,8,41,88,53
083002533,Isis,Dudley,44,74,14,9,43
261170740,Caldwell,Izzard,51,63,96,64,21
101102496,Olimpia,Maymand,71,25,53,50,51
064203021,Rhiamon,Glowach,54,18,72,93,54
021172661,Beale,Kordova,34,1,75,41,18
122041523,Bebe,Crippen,65,51,42,1,94
065301689,Kippy,Joselin,83,59,77,34,81
111924305,Derron,Mothersdale,95,6,44,79,23
074000162,Early,Brilon,62,39,21,60,64
322271779,Vitoria,Baxstar,31,55,2,69,14
114922430,Giulietta,Finnie,44,92,8,4,61
055000770,Cosmo,Harriot,84,69,35,32,5
063114632,Netta,Glazyer,39,13,94,18,89
101102836,Ruggiero,Spelsbury,57,66,9,37,100
103101424,Sunny,Vogeler,3,51,100,17,83
111321270,Gustie,Roelvink,51,96,47,30,20
073920845,Marilin,Caldow,9,40,32,76,63
031317380,Lindsay,Slisby,19,10,63,51,53
065301197,Lily,Jowitt,20,97,8,70,95
071909198,Lezlie,Trotton,23,19,67,89,36
043000122,Lyndsie,Flaune,29,35,73,98,23
211272504,Riane,Gilford,44,78,2,3,64
091401919,Tami,Khotler,27,49,2,52,48
064108757,Marrissa,Alywin,79,63,3,60,84
071902629,Gav,Maile,57,53,49,33,33
031301053,Ben,Stockport,25,84,6,69,31
113014077,Fran,Eyckelbeck,93,31,79,74,21
065303069,Ruperto,Asp,13,82,29,25,17
071917232,Shanon,Polly,86,73,35,10,79
086518723,Noak,Pickring,24,90,2,39,3
101100922,Blinni,Marsie,27,16,57,69,72
111306871,Demetri,Plackstone,74,6,66,20,74
052100929,Fidole,Gremane,95,90,31,16,4
091015224,Magdalene,Bushell,40,66,88,70,24
071114491,Matthus,Cecely,70,75,48,4,55
031000040,Isac,Itzhaiek,83,25,11,67,62
103912723,Sawyer,Kaman,47,93,1,42,3
281581047,Berti,Finch,64,70,16,79,65
064000185,Jeff,Brogiotti,18,87,55,72,7
091916093,Elissa,Peaden,98,92,78,57,15
041201703,Skipp,Leet,82,85,86,63,79
243073632,Otha,Lynskey,46,68,9,78,56
113001077,Staford,Darell,37,24,64,77,50
103106843,Tony,Cole,34,30,37,71,51
221472776,Kleon,Caskie,5,54,34,42,91
075901642,Mathilde,Lembrick,75,69,29,70,60
104000702,Lita,McCroft,19,9,13,53,28
226072375,Terrijo,Tersay,8,63,7,96,80
253173661,Janot,Wittleton,68,4,86,56,41
264271361,Dalis,Marrable,68,19,26,28,56
075907497,Elisabeth,Girsch,81,62,74,77,95
113104521,Abe,Bovingdon,86,100,51,57,73
062000080,Luca,Spir,71,30,74,44,7
322271096,Colby,Greatex,73,10,74,78,52
071111986,Bobine,Parres,12,98,49,88,38
103000800,Aarika,Sporrij,92,67,67,76,82
091404369,Ajay,Marnes,26,19,98,80,81
051404260,Duane,Novotni,24,50,45,82,88
081501489,Glennie,Colquite,61,6,41,10,46
063292499,Nicol,Dicks,16,48,85,36,82
051409139,Marsha,McOmish,35,30,42,80,79
061208126,Harmonie,Blose,20,10,39,94,48
221471971,Mari,Stollman,65,45,100,36,72
274070439,Levy,Roughey,68,5,63,91,50
026015079,Lenka,Crake,82,97,3,69,53
122105760,Shelagh,Liebrecht,24,9,54,89,81
084202219,Lilly,Stading,36,80,72,92,1
101000789,Lise,Grabbam,6,65,38,14,21
103012869,Laina,Olenchikov,73,100,60,4,65
082907888,Gerek,Marages,74,51,94,4,4
063114700,Cliff,Starcks,95,17,24,39,20
063115738,Darla,Pasek,57,2,59,24,29
051404118,Christopher,Raynard,8,85,83,98,59
063114946,Georgina,Eisenberg,93,32,84,20,26
072406771,Angelica,Cresser,62,38,42,57,50
053200446,Constancia,Messum,68,49,68,48,77
111104853,Laney,Amphlett,33,31,16,30,20
125102278,Andras,Szymaniak,79,21,17,16,95
072402788,Pen,Gillino,12,44,50,20,82
091800329,Felipa,Newlan,17,48,33,62,72
021214875,Ulrich,Perri,35,30,30,38,28
123206406,Eduino,Hawkswell,64,81,91,3,26
122237751,Belva,Braemer,60,49,81,84,93
082904483,Cad,Quest,48,4,37,36,39
084303545,Abagail,Johnys,51,30,52,94,99
062206732,Esmaria,Ashley,69,9,29,70,31
061119477,Antonia,Clyne,71,14,39,27,14
084202235,Fidel,Jurczak,40,21,20,49,59
061019506,Jennee,Prewer,45,36,50,75,13
041002711,Edwin,Flasby,80,69,42,43,22
081000032,Rafaelita,Deeley,39,7,84,96,30
084203043,Gayler,Link,27,32,24,51,78
122243648,Mylo,Janeczek,50,8,68,82,8
053100355,Roseline,Mainz,67,72,69,63,39
061103920,Mallorie,Byars,51,91,46,75,73
075010193,Emmet,Hannaford,85,82,100,26,6
053102191,Fenelia,Gillson,13,80,30,32,7
281073555,Patric,Spawell,99,58,8,40,34
125105550,Elberta,Chafer,70,59,66,13,83
244172082,Van,Venus,3,97,3,99,49
251472636,Chet,De Zamudio,98,24,27,1,13
121142517,Kaylil,Bleacher,30,95,39,33,12
211870977,Dixie,Duerden,10,44,76,86,19
091308795,Lane,Erlam,56,19,61,83,98
253174851,Simona,Shapiro,1,77,89,18,83
111915770,Crissie,Kirsopp,3,62,27,48,90
071925169,Sonnie,Farquarson,51,45,70,90,76
104901610,Babita,Riddel,82,61,16,5,97
081914775,Mavis,Radki,97,75,41,62,52
031306029,Blair,Mosey,99,23,79,80,63
021207206,Urson,Caldwell,33,21,79,92,86
123203218,Hillier,Garrow,87,87,75,96,62
022000046,Reilly,Caddie,4,28,76,22,53
084202060,Emmie,Ashman,38,41,93,37,36
111904215,Harold,Klaus,45,65,81,22,25
081908590,Ertha,Yurocjkin,42,59,7,72,1
064101398,Ethelyn,Manhare,48,27,14,20,48
111905340,Enriqueta,Mounter,28,55,96,72,20
063114108,Rodina,Anslow,1,45,62,36,53
072401789,Dominga,Possell,22,20,22,42,42
072413599,Sterne,Houldcroft,96,27,22,53,21
122200759,Hymie,Bossom,22,25,59,5,8
075906951,Chastity,Rubra,44,7,53,50,14
011375245,Nikolaus,Zecchini,23,11,26,92,70
123206590,Willey,Baty,58,77,89,13,34
065403477,Delilah,Calan,24,52,83,72,84
082901101,Hally,McPherson,88,9,40,28,16
103103749,Rurik,Napolitano,36,7,18,88,64
111914849,Etan,Gigg,5,78,35,44,87
101001351,Tedman,Wolver,83,59,66,47,21
091302788,Felecia,Fayerman,37,26,56,12,3
075902816,Denni,Griffin,91,46,29,1,98
264279279,Janek,Gasker,19,23,85,45,55
086518723,Tammy,Isakson,97,34,79,41,73
074903337,Nikolaos,Yann,2,37,82,60,68
072413654,Ezra,Sandry,71,33,75,38,98
091206101,Asher,Carass,17,73,18,19,51
125200044,Lilias,Skurm,7,4,93,56,68
114909165,Mignon,Beeken,14,97,71,73,53
125107008,Ludovika,Duerden,71,47,12,37,90
111907827,Gaston,Gantley,66,90,24,66,69
075900148,Reilly,Castel,24,76,79,41,42
075907808,Yancey,Lergan,74,15,37,4,74
122037841,Addi,Trundler,56,40,11,63,73
111921777,Torr,Reynolds,64,31,15,55,38
074905173,Rick,Pyson,22,47,13,77,37
122240890,Hedi,Moakler,31,70,2,52,59
107006143,Gerrard,Ferrari,49,70,82,15,93
061103357,Gratiana,Nuschke,85,62,87,8,4
031318596,Margaret,Ivic,92,10,70,74,96
053202208,Rickey,Yakovliv,10,48,44,59,34
075903763,Claudius,Downgate,4,41,11,75,18
091212179,Mira,Bettesworth,98,23,93,11,94
073915520,Lemmie,Honeyghan,76,11,92,52,6
026005050,Gasper,Ioan,27,40,59,91,18
071104715,Roda,Freen,67,64,23,67,65
123203878,Kirbie,Banaszewski,62,78,68,26,24
011302357,Lu,Arrandale,63,47,63,80,81
043300712,Eloise,Mendonca,4,78,65,14,1
022310422,Dugald,Flude,73,79,77,11,19
051405450,Jacky,McCloughen,5,54,92,88,53
053112631,Alric,Curedell,61,73,41,52,87
122237955,Brooke,Bazell,8,10,39,55,50
067005679,Nils,Deplacido,92,48,2,11,50
061101032,Raleigh,Flukes,40,21,91,36,38
011100892,Abbye,Keasley,51,81,88,14,38
067015258,Crin,Lamzed,11,17,37,48,32
113015995,Carlie,Trighton,25,84,35,47,57
061206432,Cyrill,McAster,80,99,51,8,72
111320006,Lanae,Van Halen,46,96,73,70,7
074914407,Yank,Lezemere,96,96,3,52,92
081514829,Marybelle,Currer,74,74,40,11,39
101115098,Jaye,Jirsa,39,98,20,74,23
107003612,Katine,Measen,69,43,48,93,87
102004519,Dorris,Grogona,27,24,96,4,74
211371638,Wash,Shellard,98,69,23,50,21
254070019,Duff,Lintott,95,2,23,16,85
071921697,Cindy,Jillitt,100,95,100,82,77
065404913,Glori,Riha,14,14,94,50,72
114922430,Frannie,Cressor,48,64,58,40,91
122242607,Jolee,Lathom,5,75,61,38,8
091407133,Ruy,Mattheissen,91,92,78,47,46
104903362,Blinny,Deignan,23,89,72,100,51
103013211,Claire,Lofthouse,43,87,46,25,80
084205559,Bernardo,Kernes,82,52,6,91,17
091216696,Oriana,Kalinovich,2,64,95,25,80
011104322,Moses,Buer,91,88,82,38,42
072401064,Valery,Lester,12,73,94,22,27
125102278,Durant,Cahalan,64,28,4,58,71
123206846,Ahmad,Luetchford,38,4,97,45,95
072413751,Sergio,Oosthout de Vree,52,42,29,78,93
322280485,Alli,Wintersgill,100,2,97,31,80
031313562,Flint,Brimacombe,83,7,40,56,22
101105257,Curt,Curbishley,92,46,65,3,83
011000138,Petey,Lorey,79,62,55,67,1
271071402,Jamill,Dunan,50,60,89,25,6
065403150,Mitchael,Cuskery,51,85,83,39,54
111908509,Andeee,Ascroft,26,57,41,70,78
064201560,Darby,Dantesia,43,100,4,9,91
114922265,Nicolea,Skains,76,65,98,37,95
242070791,Wilburt,Muffen,62,23,64,70,32
083912393,Harland,Knowlden,51,53,92,16,22
061300367,Maurine,Flagg,86,42,83,57,18
041201703,Manya,Schofield,93,46,27,91,6
075901480,Rosalyn,McIlrath,69,4,7,42,32
021201639,Cari,Cockburn,23,65,5,77,73
067016105,Adrien,Head,96,69,31,59,80
064107729,Ada,Dericut,19,50,91,26,99
211672531,Cassie,Pickburn,43,52,27,21,4
322280485,Janeva,Dicky,65,77,84,30,20
011601074,Christian,Grog,64,55,5,67,10
065302701,Martelle,Shekle,40,46,23,67,90
071119865,Sharon,Cheshir,18,65,71,64,62
072413832,Rosamund,Poznan,50,53,96,36,11
065200515,Griswold,Capnerhurst,59,8,52,56,91
063105544,Nicolai,Dyter,33,7,82,62,94
082904043,Sherwin,Durkin,36,18,30,81,67
102000937,Wang,Hrishanok,99,11,82,100,40
021207413,Leone,Mazzei,16,7,32,88,33
075909660,Theresa,Saben,10,17,37,47,61
042104249,Roxie,Harmar,71,18,50,98,42
211272504,Filberto,Finlason,30,69,78,94,70
061113279,Davis,Walesby,61,22,8,32,19
103912956,Torin,Petrina,58,62,68,41,82
102005916,Taryn,Kirton,55,47,54,2,93
122187212,Sibel,Bufton,50,13,33,6,52
071925224,Anjela,Exelby,21,82,31,31,53
021407912,Marita,Purvess,44,87,17,13,84
274970791,Sybyl,Loud,52,28,64,78,1
021407912,Buffy,Suttaby,98,88,79,80,31
052173464,Alissa,Troke,87,83,89,100,46
073907758,Goldie,Tattersfield,1,56,61,20,75
113125380,Brannon,Gilphillan,92,18,24,98,31
121142834,Paul,Budik,3,82,99,96,88
071117760,Sherwood,Barnwell,70,17,77,2,66
122239843,Fee,Shorten,48,93,58,58,55
281073568,Dwayne,Futter,85,33,18,65,25
073920557,Bertie,Skillman,25,73,86,35,14
111917590,Gale,Arbuckle,89,82,80,38,54
051403164,Arvie,Wiggans,70,76,10,54,71
061000052,Alden,Loynes,1,17,12,7,75
011401533,Rancell,Boyd,4,68,64,83,71
081001714,Marcelo,Salan,25,69,88,89,69
021906471,Bebe,Le Fevre,26,100,10,9,68
031315382,Haze,Gingell,66,94,89,98,16
113109720,Netty,Davers,59,90,90,75,19
101113812,Rosalie,Wankling,79,38,89,39,45
122087590,Paloma,Iannuzzelli,2,78,27,26,31
071905985,Almira,McGougan,71,90,100,55,18
091101455,Thorndike,Grosvenor,9,89,87,20,48
113116292,Frederick,Djuricic,12,51,30,44,17
063115372,Clarine,Housin,35,18,54,53,30
101015020,Truda,Coaker,21,51,89,33,55
104902392,Dale,Pettiford,61,88,73,29,96
122242034,Lorenza,Mila,14,89,60,100,74
063115631,Courtnay,Willerson,5,49,28,20,64
124002942,Jasun,Whotton,91,6,13,43,99
081519510,Stacey,Falcus,56,91,40,76,27
031205955,Tedman,Mounsey,84,86,95,79,25
071106250,Avie,Bowart,12,47,19,7,32
103112507,Tybi,Carayol,39,20,39,91,2
071107220,Letisha,Follitt,78,52,34,41,100
082901101,Jephthah,Brereton,51,88,10,57,66
211384162,Dita,Bover,7,2,72,23,86
121141042,Yulma,Sumers,96,37,55,48,49
081510739,Rawley,Clappison,33,60,54,90,17
114921842,Mimi,Etherington,5,4,22,65,48
107000275,Arel,MacDiarmond,3,51,39,98,8
081019104,Orren,Mortimer,28,66,79,54,86
052100893,Marylee,Hyndley,91,97,39,60,44
065301566,Pierson,Aitkenhead,62,83,82,19,47
051404118,Darla,Praundl,59,22,83,61,74
044000037,Fonzie,Doumerque,71,82,9,13,84
053112343,Bryn,Quick,16,92,51,17,58
071117760,Elwira,Cyples,68,98,44,29,2
071108669,Sarah,Goretti,73,30,1,57,26
122239937,El,Tomasz,40,22,83,21,77
081912379,Ingunna,Royal,87,92,1,10,47
104913048,Julius,Olivia,53,48,38,89,18
064207771,Burk,Lengthorn,48,27,65,85,82
075912165,Claudell,Stallibrass,40,18,75,83,82
065405255,Isabel,Pickring,48,17,48,51,4
073914411,Simone,Hallihan,47,87,63,7,55
062202749,Cullen,Blampey,71,52,66,96,49
091915311,Felice,Custed,46,41,43,54,31
111323689,Janet,Bruckstein,70,71,41,16,16
061112843,Leonardo,Gilhool,12,70,53,38,40
111303117,Fair,Joder,46,44,96,20,69
072407123,Joela,Dytham,53,18,78,86,24
113008766,Naoma,Klehyn,79,47,56,34,100
313072819,Gard,Cardenoza,97,51,86,5,15
271973924,Anetta,Gaskin,74,29,79,78,32
062201724,Tremayne,Santello,32,16,98,4,50
071921532,Josias,Boyd,52,1,78,27,33
123103868,Estrella,Gummary,86,70,41,38,91
065201116,Al,Chaperlin,43,89,13,9,80
071109891,Ewen,Bitcheno,73,52,9,79,53
111103210,Darsey,Waylett,84,48,78,32,74
063292538,Ania,Will,7,1,20,90,44
053200983,Penny,Rookledge,44,26,85,59,37
074000065,Camila,Stayt,86,35,38,94,13
026013958,Reece,Knewstubb,91,99,71,47,95
121142779,Spenser,McMichan,60,8,64,100,6
267090536,Jo ann,Cund,36,59,52,100,9
255070351,Constantin,Henningham,37,71,6,48,86
111901467,Giorgio,Maulden,52,27,91,67,57
084008358,Lindsey,Geraldini,34,67,53,65,34
091800329,Virgie,Rivett,7,59,22,86,18
062000116,Anna-diane,Ollington,92,19,32,65,69
051401836,Jeremy,Margett,3,53,64,50,79
053208053,Jorey,Yakovlev,88,20,2,25,94
243373206,Gus,Lipsett,65,77,51,46,40
107089555,Shandeigh,Siemantel,24,71,76,78,98
104000058,Tedd,Tidbald,43,2,97,63,9
101100223,Eugenio,Fife,80,80,53,7,22
271970066,Debbie,Charrisson,9,97,49,94,41
071002134,Bryanty,Miettinen,34,37,90,96,72
271974295,Kaela,Yetts,50,34,45,48,10
062201779,Bendite,Matlock,60,30,30,53,99
111319004,Tamar,Sandiford,19,52,89,98,45
314072986,Fran,Winham,36,80,55,64,59
265371053,Carmine,Bride,47,96,23,74,9
226070270,Friederike,Bulley,17,65,16,93,88
124100080,Ches,Colson,58,12,26,66,86
042107424,Broddy,Garahan,100,19,9,82,89
081519303,Leonerd,Hegge,50,18,37,37,7
113104880,Ric,Odgers,44,10,93,53,46
071905613,Izabel,Sisneros,93,53,66,44,94
067005679,Laurie,Coull,59,44,96,100,47
111909443,Brad,Horsfield,7,41,91,81,54
056005318,Erika,Kenneway,1,77,38,51,72
061104518,Ollie,Heynel,73,10,46,6,82
272471551,Peyton,Brunn,39,76,22,22,50
053100258,Irena,Vigar,31,36,17,10,54
061119781,Vanessa,Irons,11,1,80,78,80
011110688,Luigi,Danson,8,55,9,26,35
121141107,Lissi,Balle,72,63,13,24,88
103102229,Udell,Ewenson,46,42,62,56,82
053100494,Sly,McGinn,55,12,98,47,39
101001005,Edgar,Petric,73,8,58,70,95
051400361,Baily,Straniero,41,23,36,87,39
103100739,Laural,Conner,27,19,92,82,47
271070788,Peirce,Belsey,18,95,43,50,58
042174509,Janos,Bim,20,94,63,30,91
101114303,Iain,Albers,57,83,7,82,59
021502354,Lorita,Joplin,20,56,54,54,93
072404142,Elmo,Cabrera,68,77,78,54,24
072413609,Dale,Gitsham,87,6,8,60,98
322280870,Karyl,Esche,95,93,25,100,62
053100258,Decca,Dreng,41,82,92,57,62
041213814,Blithe,Rutherforth,31,96,19,30,24
021401617,Morgen,Christoffersen,77,88,25,82,48
263190812,Aldous,Cecchetelli,5,13,89,17,9
072410013,Ashlen,McEneny,84,47,20,65,85
051400549,Alano,Wall,53,7,28,21,41
121144201,Ricki,Tapenden,68,73,43,65,45
091916093,Sasha,Rappoport,10,76,37,28,99
065401000,Tera,Kleinhaus,45,35,81,66,50
114902793,Wren,Nock,69,93,43,6,95
041202922,Dario,Labrone,60,5,36,66,14
111904998,Phillipp,Badam,39,52,12,16,42
074903890,Karleen,MacIlhagga,84,73,94,46,18
056073502,Felike,Pohlak,35,67,20,4,87
121142148,Betti,Rowbottam,33,16,57,68,1
111925045,Henryetta,McAuslan,42,89,49,85,58
281073555,Corie,Luther,44,51,75,97,15
062101219,Jacquelynn,Skeen,79,52,54,100,95
271992219,Danita,Cousen,71,10,37,86,14
062200783,Eachelle,Blaschke,98,34,77,82,18
111901690,Nilson,Owbridge,92,36,61,17,21
281073568,Giana,Hyatt,65,40,24,96,54
081908590,Myranda,Lathy,28,28,97,15,35
125108191,Joli,Do,33,70,95,14,99
021200339,Abey,Bairstow,53,13,4,71,61
107002503,Norbie,Kingsnorth,27,78,39,86,76
243373222,Steve,Guinery,64,37,79,89,8
111913756,Willow,Darter,95,81,16,21,30
091200592,Rosita,Klimuk,61,33,74,30,39
113024562,Lorrin,Ravilious,35,22,32,21,20
111303117,Sheffy,Eldred,33,17,7,58,30
082901460,Merrielle,Rush,39,89,81,79,100
071911416,Cly,Bennetto,81,78,34,29,6
073900975,Jerrilyn,Effnert,54,80,36,28,20
083074451,Billi,Quarry,56,19,73,70,34
063114894,Cullen,Jardein,54,40,24,94,71
042102018,Jamesy,Tie,84,81,85,22,5
107004695,Georgy,Conrard,19,87,95,18,1
211172785,Calv,Kira,18,71,75,90,92
325182797,Nadeen,Caunter,82,64,25,42,20
292970744,Harper,Kibbel,27,12,20,84,76
075903527,Marielle,Bingall,91,96,82,18,8
074900194,Saree,Ronayne,5,13,19,69,10
061203338,Wilow,Ottee,80,78,66,92,22
061101799,Joyan,Carlett,51,20,89,74,62
062003977,Udall,Forre,15,50,7,44,70
061000052,Norah,Fullylove,39,81,90,16,31
114905567,Vernon,Wrenn,42,11,79,55,46
061112788,Jami,Jansen,26,84,94,45,100
111912252,Shepard,Lavis,79,41,100,75,94
026010605,Willie,Dobing,21,82,49,26,35
091802877,Libbie,Whitelaw,39,93,65,83,14
054000551,Reginauld,Stelfax,60,73,55,28,23
062204789,Alix,Brownsmith,26,70,75,65,31
062005690,Gregor,Gillino,11,58,64,40,78
113104712,Dasie,Le Moucheux,19,1,64,91,29
103901491,Nisse,Kearn,28,47,34,23,4
083901650,Hasheem,McEttigen,47,65,9,15,21
